,Unnamed: 0_x,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số,Unnamed: 0_y,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
0,0,0,MI1010,Giải tích I,3(3-2-0-6),3.0,5,0.7,0,,Calculus I,Giải tích I,KTTD
1,1,1,MI1030,Đại số,3(3-2-0-6),3.0,5,0.7,1,,Algebra,Đại số,KTTD
2,2,2,IT1010,Tin học đại cương,3(3-1-1-6),3.0,5.5,0.6,2,,Introduction to Computer Science,Tin học đại cương,KCNTT
3,3,3,FL1010,Tiếng Anh I,3(3-2-0-6),3.0,5,0.7,3,,"GE, Pre-Intermediate I",Tiếng Anh I,KNN
4,4,4,ME2010,Hình học họa hình,2(1-1-0-4),2.0,2,0.7,4,,Descriptive Geometry,Hình học họa hình,KCK
5,5,5,SSH1030,Lịch sử Đảng CSVN,2(2-0-2-4),2.0,5,0.7,5,,History of Communist Party of Vietnam,Lịch sử Đảng CSVN,KML
6,6,6,PE1010,Giáo dục thể chất A,0(0-0-2-0),0.0,1.5,1.0,6,,Physical Education A,Giáo dục thể chất A,BGDTC
7,7,7,MI1020,Giải tích II,3(2-2-0-6),3.0,4,0.7,7,MI1010,Calculus II,Giải tích II,KTTD
8,8,8,MI1040,Phương trình vi phân và chuỗi,2(2-1-0-4),2.0,3,0.7,8,MI1010,Differential Equations and Series,Phương trình vi phân và chuỗi,KTTD
9,9,9,PH1010,Vật lý đại cương I,4(3-2-1-8),4.0,6.5,0.7,9,MI1010,Physics I,Vật lý đại cương I,VVLKT
10,10,10,FL1020,Tiếng Anh II,3(3-1-0-6),3.0,4,0.7,10,FL1010,English II,Tiếng Anh II,KNN
11,11,11,ME2020,Vẽ kỹ thuật,2(1-1-0-4),2.0,2,0.7,11,,Technical Drawing,Vẽ kỹ thuật,KCK
12,12,12,SSH1010,Triết học Mác-Lênin,4(3-0-3-6),4.0,7.5,0.7,12,,Philosophy,Triết học Mác-Lênin,KML
13,13,13,PE1020,Giáo dục thể chất B,0(0-0-2-0),0.0,1.5,1.0,13,,Physical Education B,Giáo dục thể chất B,BGDTC
14,14,14,MIL1010,Giáo dục quốc phòng I,0(1-0-2-0),0.0,3,1.0,14,,Military Service Training I,Giáo dục quốc phòng I,KGDQP
15,15,15,SSH1020,Kinh tế chính trị,3(3-0-2-6),3.0,6,0.7,15,,Political Economics,Kinh tế chính trị,KML
16,16,16,SSH1040,CNXH khoa học,2(2-0-2-4),2.0,5,0.7,16,,Scientific Socialism,CNXH khoa học,KML
17,17,17,SSH1050,Tư tưởng HCM,2(2-0-0-4),2.0,2,0.7,17,,Ho Chi Minh Ideology,Tư tưởng HCM,KML
18,18,18,FL2010,Tiếng Anh KHKT,2(2-1-0-4),2.0,3,0.7,18,FL1020,English for Science & Engineering,Tiếng Anh KHKT,KNN
19,19,19,PE1030,Giáo dục thể chất C,0(0-0-2-0),0.0,1.5,1.0,19,,Physical Education C,Giáo dục thể chất C,BGDTC
20,20,20,PE2020,Giáo dục thể chất E,0(0-0-2-0),0.0,1.5,1.0,20,PE2010,Physical Education E,Giáo dục thể chất E,BGDTC
21,21,21,MIL2010,Giáo dục quốc phòng II,0(1-0-1-0),0.0,2,1.0,21,,Military Service Training II,Giáo dục quốc phòng II,KGDQP
22,22,22,PH1020,Vật lý đại cương II,4(3-2-1-8),4.0,6.5,0.7,22,PH1010,Physics II,Vật lý đại cương II,VVLKT
23,23,23,CH1010,Hoá học đại cương,3(2-1-1-6),3.0,4.5,0.5,23,,General Chemistry,Hoá học đại cương,KCNHH
24,24,24,EM1010,Quản trị học đại cương,2(2-1-0-4),2.0,3,0.7,24,,Introduction to Management,Quản trị học đại cương,KKTVQL
25,25,25,MI2010,Phương pháp tính,2(2-0-0-4),2.0,2,0.7,25,,Numerical Methods,Phương pháp tính,KTTD
26,26,26,MI2020,Xác suất thống kê,3(2-2-0-6),3.0,4,0.7,26,,Probability and Statistics,Xác suất thống kê,KTTD
27,27,27,EE2010,Kỹ thuật điện,3(2-1-1-6),3.0,4.5,0.7,27,PH1010/PH1120,Fundamentals of Electrical Engineering,Kỹ thuật điện,KD
28,28,28,HE2010,Kỹ thuật nhiệt,3(3-1-0-6),3.0,4,0.7,28,,Thermal Engineering,Kỹ thuật nhiệt,VKHVCNNL
29,29,29,ME2030,Cơ khí đại cương,2(2-1-0-4),2.0,3,0.7,29,,Introductory Mechanical Engineering,Cơ khí đại cương,KCK
30,30,30,ME2040,Cơ học kỹ thuật,3(2-2-0-6),3.0,4,0.7,30,,Engineering Mechanics,Cơ học kỹ thuật,KCK
31,31,31,FL3011,Kỹ năng nói tiếng Anh I,2(2-1-0-4),2.0,3,0.5,31,,Speaking Skills I,Kỹ năng nói tiếng Anh I,KNN
32,32,32,FL3021,Kỹ năng nghe tiếng Anh I,2(2-1-0-4),2.0,3,0.6,32,,Listening Skills I,Kỹ năng nghe tiếng Anh I,KNN
33,33,33,FL3031,Kỹ năng đọc tiếng Anh I,2(2-1-0-4),2.0,3,0.6,33,,Reading Skills I,Kỹ năng đọc tiếng Anh I,KNN
34,34,34,FL1320,Cơ sở văn hoá Việt Nam,2(2-0-0-4),2.0,2,0.6,34,,Introduction to Vietnamese Culture,Cơ sở văn hoá Việt Nam,KNN
35,35,35,IT1020,Tin học đại cương,3(3-1-1-6),3.0,5.5,0.6,35,,Introduction to Computer Science,Tin học đại cương,KCNTT
36,36,36,FL3012,Kỹ năng nói tiếng Anh II,2(2-1-0-4),2.0,3,0.5,36,FL3011,Speaking Skills II,Kỹ năng nói tiếng Anh II,KNN
37,37,37,FL3022,Kỹ năng nghe tiếng Anh II,3(2-2-0-6),3.0,4,0.6,37,FL3021/FL1017,Listening Skills II,Kỹ năng nghe tiếng Anh II,KNN
38,38,38,FL3032,Kỹ năng đọc tiếng Anh II,3(2-2-0-6),3.0,4,0.6,38,FL3031/FL1018,Reading Skills II,Kỹ năng đọc tiếng Anh II,KNN
39,39,39,FL1330,Tiếng Việt thực hành,2(2-0-0-4),2.0,2,0.6,39,,Vietnamese Language in Practice,Tiếng Việt thực hành,KNN
40,40,40,FL1310,Dẫn luận ngôn ngữ,2(2-1-0-4),2.0,3,0.6,40,,Introduction to Linguistics,Dẫn luận ngôn ngữ,KNN
41,41,41,FL3023,Kỹ năng nghe tiếng Anh III,3(2-2-0-6),3.0,4,0.6,41,FL3022,Listening Skills III,Kỹ năng nghe tiếng Anh III,KNN
42,42,42,FL3013,Kỹ năng nói tiếng Anh III,3(2-2-0-6),3.0,4,0.5,42,FL3012,Speaking Skills III,Kỹ năng nói tiếng Anh III,KNN
43,43,43,FL3033,Kỹ năng đọc tiếng Anh III,3(2-2-0-6),3.0,4,0.6,43,FL3032,Reading Skills III,Kỹ năng đọc tiếng Anh III,KNN
44,44,44,FL3043,Kỹ năng viết tiếng Anh III,3(3-1-0-6),3.0,4,0.5,44,FL3042,Writing Skills III,Kỹ năng viết tiếng Anh III,KNN
45,45,45,FL1411,Tiếng Nga I,3(2-2-0-6),3.0,4,0.7,45,,Russian I,Tiếng Nga I,KNN
46,46,46,FL1421,Tiếng Pháp I,3(2-2-0-6),3.0,4,0.6,46,,French I,Tiếng Pháp I,KNN
47,47,47,FL1431,Tiếng Nhật I,3(2-2-0-6),3.0,4,0.6,47,,Japanese I,Tiếng Nhật I,KNN
48,48,48,FL3024,Kỹ năng nghe tiếng Anh IV,3(2-2-0-6),3.0,4,0.65,48,FL3023,Listening Skills IV,Kỹ năng nghe tiếng Anh IV,KNN
49,49,49,FL3014,Kỹ năng nói tiếng Anh IV,3(3-1-0-6),3.0,4,0.5,49,FL3013,Speaking Skills IV,Kỹ năng nói tiếng Anh IV,KNN
50,50,50,FL3034,Kỹ năng đọc tiếng Anh IV,3(2-2-0-6),3.0,4,0.65,50,FL3033,Reading Skills IV,Kỹ năng đọc tiếng Anh IV,KNN
51,51,51,FL3044,Kỹ năng viết tiếng Anh IV,3(3-1-0-6),3.0,4,0.5,51,FL3043,Writing Skills IV,Kỹ năng viết tiếng Anh IV,KNN
52,52,52,FL3250,Văn hóa xã hội Anh,2(2-1-0-4),2.0,3,0.6,52,"FL3013,FL3023,FL3033,FL3043",British Culture and Society,Văn hóa xã hội Anh,KNN
53,53,53,FL1412,Tiếng Nga II,3(2-2-0-6),3.0,4,0.7,53,FL1411,Russian II,Tiếng Nga II,KNN
54,54,54,FL1422,Tiếng Pháp II,3(2-2-0-6),3.0,4,0.6,54,FL1421,French II,Tiếng Pháp II,KNN
55,55,55,FL1432,Tiếng Nhật II,3(2-2-0-6),3.0,4,0.6,55,FL1431/FL1410,Japanese II,Tiếng Nhật II,KNN
56,56,56,MI1013,Giải tích I,4(3-2-0-8),4.0,5,0.7,56,,Calculus I,Giải tích I,KTTD
57,57,57,MI1033,Đại số,4(3-2-0-8),4.0,5,0.7,57,,Algebra,Đại số,KTTD
