,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số
0,0,MI1010,Giải tích I,3(3-2-0-6),3,5,0.7
1,1,MI1030,Đại số,3(3-2-0-6),3,5,0.7
2,2,IT1010,Tin học đại cương,3(3-1-1-6),3,5.5,0.6
3,3,FL1010,Tiếng Anh I,3(3-2-0-6),3,5,0.7
4,4,ME2010,Hình học họa hình,2(1-1-0-4),2,2,0.7
5,5,SSH1030,Lịch sử Đảng CSVN,2(2-0-2-4),2,5,0.7
6,6,PE1010,Giáo dục thể chất A,0(0-0-2-0),0,1.5,1
7,7,MI1020,Giải tích II,3(2-2-0-6),3,4,0.7
8,8,MI1040,Phương trình vi phân và chuỗi,2(2-1-0-4),2,3,0.7
9,9,PH1010,Vật lý đại cương I,4(3-2-1-8),4,6.5,0.7
10,10,FL1020,Tiếng Anh II,3(3-1-0-6),3,4,0.7
11,11,ME2020,Vẽ kỹ thuật,2(1-1-0-4),2,2,0.7
12,12,SSH1010,Triết học Mác-Lênin,4(3-0-3-6),4,7.5,0.7
13,13,PE1020,Giáo dục thể chất B,0(0-0-2-0),0,1.5,1
14,14,MIL1010,Giáo dục quốc phòng I,0(1-0-2-0),0,3,1
15,15,SSH1020,Kinh tế chính trị,3(3-0-2-6),3,6,0.7
16,16,SSH1040,CNXH khoa học,2(2-0-2-4),2,5,0.7
17,17,SSH1050,Tư tưởng HCM,2(2-0-0-4),2,2,0.7
18,18,FL2010,Tiếng Anh KHKT,2(2-1-0-4),2,3,0.7
19,19,PE1030,Giáo dục thể chất C,0(0-0-2-0),0,1.5,1
20,20,PE2020,Giáo dục thể chất E,0(0-0-2-0),0,1.5,1
21,21,MIL2010,Giáo dục quốc phòng II,0(1-0-1-0),0,2,1
22,22,PH1020,Vật lý đại cương II,4(3-2-1-8),4,6.5,0.7
23,23,CH1010,Hoá học đại cương,3(2-1-1-6),3,4.5,0.5
24,24,EM1010,Quản trị học đại cương,2(2-1-0-4),2,3,0.7
25,25,MI2010,Phương pháp tính,2(2-0-0-4),2,2,0.7
26,26,MI2020,Xác suất thống kê,3(2-2-0-6),3,4,0.7
27,27,EE2010,Kỹ thuật điện,3(2-1-1-6),3,4.5,0.7
28,28,HE2010,Kỹ thuật nhiệt,3(3-1-0-6),3,4,0.7
29,29,ME2030,Cơ khí đại cương,2(2-1-0-4),2,3,0.7
30,30,ME2040,Cơ học kỹ thuật,3(2-2-0-6),3,4,0.7
31,31,FL3011,Kỹ năng nói tiếng Anh I,2(2-1-0-4),2,3,0.5
32,32,FL3021,Kỹ năng nghe tiếng Anh I,2(2-1-0-4),2,3,0.6
33,33,FL3031,Kỹ năng đọc tiếng Anh I,2(2-1-0-4),2,3,0.6
34,34,FL1320,Cơ sở văn hoá Việt Nam,2(2-0-0-4),2,2,0.6
35,35,IT1020,Tin học đại cương,3(3-1-1-6),3,5.5,0.6
36,36,FL3012,Kỹ năng nói tiếng Anh II,2(2-1-0-4),2,3,0.5
37,37,FL3022,Kỹ năng nghe tiếng Anh II,3(2-2-0-6),3,4,0.6
38,38,FL3032,Kỹ năng đọc tiếng Anh II,3(2-2-0-6),3,4,0.6
39,39,FL1330,Tiếng Việt thực hành,2(2-0-0-4),2,2,0.6
40,40,FL1310,Dẫn luận ngôn ngữ,2(2-1-0-4),2,3,0.6
41,41,FL3023,Kỹ năng nghe tiếng Anh III,3(2-2-0-6),3,4,0.6
42,42,FL3013,Kỹ năng nói tiếng Anh III,3(2-2-0-6),3,4,0.5
43,43,FL3033,Kỹ năng đọc tiếng Anh III,3(2-2-0-6),3,4,0.6
44,44,FL3043,Kỹ năng viết tiếng Anh III,3(3-1-0-6),3,4,0.5
45,45,FL1411,Tiếng Nga I,3(2-2-0-6),3,4,0.7
46,46,FL1421,Tiếng Pháp I,3(2-2-0-6),3,4,0.6
47,47,FL1431,Tiếng Nhật I,3(2-2-0-6),3,4,0.6
48,48,FL3024,Kỹ năng nghe tiếng Anh IV,3(2-2-0-6),3,4,0.65
49,49,FL3014,Kỹ năng nói tiếng Anh IV,3(3-1-0-6),3,4,0.5
50,50,FL3034,Kỹ năng đọc tiếng Anh IV,3(2-2-0-6),3,4,0.65
51,51,FL3044,Kỹ năng viết tiếng Anh IV,3(3-1-0-6),3,4,0.5
52,52,FL3250,Văn hóa xã hội Anh,2(2-1-0-4),2,3,0.6
53,53,FL1412,Tiếng Nga II,3(2-2-0-6),3,4,0.7
54,54,FL1422,Tiếng Pháp II,3(2-2-0-6),3,4,0.6
55,55,FL1432,Tiếng Nhật II,3(2-2-0-6),3,4,0.6
56,56,MI1013,Giải tích I,4(3-2-0-8),4,5,0.7
57,57,MI1033,Đại số,4(3-2-0-8),4,5,0.7
