,id,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
0,0,,Calculus I,Giải tích I,KTTD
1,1,,Algebra,Đại số,KTTD
2,2,,Introduction to Computer Science,Tin học đại cương,KCNTT
3,3,,"GE, Pre-Intermediate I",Tiếng Anh I,KNN
4,4,,Descriptive Geometry,Hình học họa hình,KCK
5,5,,History of Communist Party of Vietnam,Lịch sử Đảng CSVN,KML
6,6,,Physical Education A,Giáo dục thể chất A,BGDTC
7,7,MI1010,Calculus II,Giải tích II,KTTD
8,8,MI1010,Differential Equations and Series,Phương trình vi phân và chuỗi,KTTD
9,9,MI1010,Physics I,Vật lý đại cương I,VVLKT
10,10,FL1010,English II,Tiếng Anh II,KNN
11,11,,Technical Drawing,Vẽ kỹ thuật,KCK
12,12,,Philosophy,Triết học Mác-Lênin,KML
13,13,,Physical Education B,Giáo dục thể chất B,BGDTC
14,14,,Military Service Training I,Giáo dục quốc phòng I,KGDQP
15,15,,Political Economics,Kinh tế chính trị,KML
16,16,,Scientific Socialism,CNXH khoa học,KML
17,17,,Ho Chi Minh Ideology,Tư tưởng HCM,KML
18,18,FL1020,English for Science & Engineering,Tiếng Anh KHKT,KNN
19,19,,Physical Education C,Giáo dục thể chất C,BGDTC
20,20,PE2010,Physical Education E,Giáo dục thể chất E,BGDTC
21,21,,Military Service Training II,Giáo dục quốc phòng II,KGDQP
22,22,PH1010,Physics II,Vật lý đại cương II,VVLKT
23,23,,General Chemistry,Hoá học đại cương,KCNHH
24,24,,Introduction to Management,Quản trị học đại cương,KKTVQL
25,25,,Numerical Methods,Phương pháp tính,KTTD
26,26,,Probability and Statistics,Xác suất thống kê,KTTD
27,27,PH1010/PH1120,Fundamentals of Electrical Engineering,Kỹ thuật điện,KD
28,28,,Thermal Engineering,Kỹ thuật nhiệt,VKHVCNNL
29,29,,Introductory Mechanical Engineering,Cơ khí đại cương,KCK
30,30,,Engineering Mechanics,Cơ học kỹ thuật,KCK
31,31,,Speaking Skills I,Kỹ năng nói tiếng Anh I,KNN
32,32,,Listening Skills I,Kỹ năng nghe tiếng Anh I,KNN
33,33,,Reading Skills I,Kỹ năng đọc tiếng Anh I,KNN
34,34,,Introduction to Vietnamese Culture,Cơ sở văn hoá Việt Nam,KNN
35,35,,Introduction to Computer Science,Tin học đại cương,KCNTT
36,36,FL3011,Speaking Skills II,Kỹ năng nói tiếng Anh II,KNN
37,37,FL3021/FL1017,Listening Skills II,Kỹ năng nghe tiếng Anh II,KNN
38,38,FL3031/FL1018,Reading Skills II,Kỹ năng đọc tiếng Anh II,KNN
39,39,,Vietnamese Language in Practice,Tiếng Việt thực hành,KNN
40,40,,Introduction to Linguistics,Dẫn luận ngôn ngữ,KNN
41,41,FL3022,Listening Skills III,Kỹ năng nghe tiếng Anh III,KNN
42,42,FL3012,Speaking Skills III,Kỹ năng nói tiếng Anh III,KNN
43,43,FL3032,Reading Skills III,Kỹ năng đọc tiếng Anh III,KNN
44,44,FL3042,Writing Skills III,Kỹ năng viết tiếng Anh III,KNN
45,45,,Russian I,Tiếng Nga I,KNN
46,46,,French I,Tiếng Pháp I,KNN
47,47,,Japanese I,Tiếng Nhật I,KNN
48,48,FL3023,Listening Skills IV,Kỹ năng nghe tiếng Anh IV,KNN
49,49,FL3013,Speaking Skills IV,Kỹ năng nói tiếng Anh IV,KNN
50,50,FL3033,Reading Skills IV,Kỹ năng đọc tiếng Anh IV,KNN
51,51,FL3043,Writing Skills IV,Kỹ năng viết tiếng Anh IV,KNN
52,52,"FL3013,FL3023,FL3033,FL3043",British Culture and Society,Văn hóa xã hội Anh,KNN
53,53,FL1411,Russian II,Tiếng Nga II,KNN
54,54,FL1421,French II,Tiếng Pháp II,KNN
55,55,FL1431/FL1410,Japanese II,Tiếng Nhật II,KNN
56,56,,Calculus I,Giải tích I,KTTD
57,57,,Algebra,Đại số,KTTD
58,58,,French for AUF1,Tiếng Pháp AUF1,KNN
59,59,FL1426,French for AUF2,Tiếng Pháp AUF2,KNN
60,60,,General Mathematics I,Toán đại cương I,KTTD
61,61,,Introduction to ICT,Giới thiệu ICT,KCNTT
62,62,,Computer Literacy,Kiến thức máy tính,KCNTT
63,63,,Computer Ethics,Đạo lý máy tính,KCNTT
64,64,,Japanese 1,Tiếng Nhật 1,BDHDADTCVT
65,65,,English I,Tiếng Anh VN I,KNN
66,66,,Laws,Luật,KML
67,67,,Math I,Toán I,KTTD
68,68,,English for Engineers I,Tiếng Anh KSCLC I,KNN
69,69,,Environment,Môi trường,VKHVCNMT
70,70,,Speaking Skills I,Kỹ năng nói TA I,KNN
71,71,,Listening Skills I,Kỹ năng nghe TA I,KNN
72,72,,Reading Skills I,Kỹ năng đọc TA I,KNN
73,73,,Writing Skills I,Kỹ năng viết TA I,KNN
74,74,,Introduction to Computer Science,Tin học đại cương,KCNTT
75,75,,Physics,Vật lý,VVLKT
76,76,,Japanese 3,Tiếng Nhật 3,BDHDADTCVT
77,77,,English III,Tiếng Anh VN II,KNN
78,78,,English for Engineers II,Tiếng Anh KSCLC II,KNN
79,79,FL1016,Speaking Skills II,Kỹ năng nói TA II,KNN
80,80,FL1017,Listening Skills II,Kỹ năng nghe TA II,KNN
81,81,FL1018,Reading Skills II,Kỹ năng đọc TA II,KNN
82,82,FL1019,Writing Skills II,Kỹ năng viết TA II,KNN
83,83,,French 1,Tiếng Pháp KSCLC 1,KNN
84,84,,,Rèn luyện,PDTDH
85,85,,Japanese 2,Tiếng Nhật 2,BDHDADTCVT
